ticker,edate,etime,beforedate,afterdate
A,2002-05-16,BMO,2002-05-15,2002-05-16
A,2002-08-19,BMO,2002-08-16,2002-08-19
A,2002-11-18,BMO,2002-11-15,2002-11-18
A,2003-02-21,BMO,2003-02-20,2003-02-21
A,2003-05-19,BMO,2003-05-16,2003-05-19
A,2003-08-18,BMO,2003-08-15,2003-08-18
A,2003-11-17,BMO,2003-11-14,2003-11-17
A,2004-05-17,BMO,2004-05-14,2004-05-17
A,2004-08-12,BMO,2004-08-11,2004-08-12
A,2004-11-11,BMO,2004-11-10,2004-11-11
A,2005-02-14,BMO,2005-02-11,2005-02-14
A,2005-05-16,BMO,2005-05-13,2005-05-16
A,2005-08-15,BMO,2005-08-12,2005-08-15
A,2005-11-14,BMO,2005-11-11,2005-11-14
A,2006-02-13,BMO,2006-02-10,2006-02-13
A,2006-05-15,BMO,2006-05-12,2006-05-15
A,2006-08-14,BMO,2006-08-11,2006-08-14
A,2006-11-14,BMO,2006-11-13,2006-11-14
A,2007-02-15,BMO,2007-02-14,2007-02-15
A,2007-05-14,BMO,2007-05-11,2007-05-14
A,2007-08-14,BMO,2007-08-13,2007-08-14
A,2007-11-15,BMO,2007-11-14,2007-11-15
A,2008-02-13,BMO,2008-02-12,2008-02-13
A,2008-05-14,BMO,2008-05-13,2008-05-14
A,2008-08-14,BMO,2008-08-13,2008-08-14
A,2008-11-14,BMO,2008-11-13,2008-11-14
A,2009-05-14,AMC,2009-05-14,2009-05-15
A,2009-08-17,AMC,2009-08-17,2009-08-18
A,2009-11-13,BMO,2009-11-12,2009-11-13
A,2010-02-12,BMO,2010-02-11,2010-02-12
A,2010-05-17,AMC,2010-05-17,2010-05-18
A,2010-08-16,AMC,2010-08-16,2010-08-17
A,2010-11-12,BMO,2010-11-11,2010-11-12
A,2011-02-14,AMC,2011-02-14,2011-02-15
A,2011-05-13,BMO,2011-05-12,2011-05-13
A,2011-08-15,AMC,2011-08-15,2011-08-16
A,2011-11-15,AMC,2011-11-15,2011-11-16
A,2012-02-15,AMC,2012-02-15,2012-02-16
A,2012-05-14,AMC,2012-05-14,2012-05-15
A,2012-08-15,AMC,2012-08-15,2012-08-16
A,2012-11-19,AMC,2012-11-19,2012-11-20
A,2013-02-14,AMC,2013-02-14,2013-02-15
A,2013-05-14,AMC,2013-05-14,2013-05-15
A,2013-08-14,AMC,2013-08-14,2013-08-15
A,2013-11-14,AMC,2013-11-14,2013-11-15
A,2014-02-13,AMC,2014-02-13,2014-02-14
A,2014-05-14,AMC,2014-05-14,2014-05-15
A,2014-08-14,AMC,2014-08-14,2014-08-15
A,2014-11-17,AMC,2014-11-17,2014-11-18
A,2015-02-17,AMC,2015-02-17,2015-02-18
A,2015-05-18,AMC,2015-05-18,2015-05-19
A,2015-08-17,AMC,2015-08-17,2015-08-18
A,2015-11-16,AMC,2015-11-16,2015-11-17
A,2016-02-16,AMC,2016-02-16,2016-02-17
A,2016-05-16,AMC,2016-05-16,2016-05-17
A,2016-08-17,AMC,2016-08-17,2016-08-18
A,2016-11-15,AMC,2016-11-15,2016-11-16
A,2017-02-14,AMC,2017-02-14,2017-02-15
A,2017-05-22,AMC,2017-05-22,2017-05-23
A,2017-08-15,AMC,2017-08-15,2017-08-16
A,2017-11-20,AMC,2017-11-20,2017-11-21
A,2018-02-14,AMC,2018-02-14,2018-02-15
A,2018-05-14,AMC,2018-05-14,2018-05-15
A,2018-08-14,AMC,2018-08-14,2018-08-15
A,2018-11-19,AMC,2018-11-19,2018-11-20
A,2019-02-20,AMC,2019-02-20,2019-02-21
A,2019-05-14,AMC,2019-05-14,2019-05-15
A,2019-08-14,AMC,2019-08-14,2019-08-15
A,2019-11-25,AMC,2019-11-25,2019-11-26
A,2020-02-18,AMC,2020-02-18,2020-02-19
A,2020-05-21,AMC,2020-05-21,2020-05-22
A,2020-08-18,AMC,2020-08-18,2020-08-19
A,2020-11-23,AMC,2020-11-23,2020-11-24
A,2021-02-16,AMC,2021-02-16,2021-02-17
A,2021-05-25,AMC,2021-05-25,2021-05-26
A,2021-08-17,AMC,2021-08-17,2021-08-18
A,2021-11-22,AMC,2021-11-22,2021-11-23
A,2022-02-22,AMC,2022-02-22,2022-02-23
A,2022-05-24,AMC,2022-05-24,2022-05-25
AA,2016-11-01,BMO,2016-10-31,2016-11-01
AA,2016-12-01,BMO,2016-11-30,2016-12-01
AA,2017-01-24,AMC,2017-01-24,2017-01-25
AA,2017-04-24,AMC,2017-04-24,2017-04-25
AA,2017-07-19,AMC,2017-07-19,2017-07-20
AA,2017-10-18,AMC,2017-10-18,2017-10-19
AA,2018-01-17,AMC,2018-01-17,2018-01-18
AA,2018-04-18,AMC,2018-04-18,2018-04-19
AA,2018-07-18,AMC,2018-07-18,2018-07-19
AA,2018-10-17,AMC,2018-10-17,2018-10-18
AA,2019-01-16,AMC,2019-01-16,2019-01-17
AA,2019-04-17,AMC,2019-04-17,2019-04-18
AA,2019-07-17,AMC,2019-07-17,2019-07-18
AA,2019-10-16,AMC,2019-10-16,2019-10-17
AA,2020-01-15,AMC,2020-01-15,2020-01-16
AA,2020-04-22,AMC,2020-04-22,2020-04-23
AA,2020-07-15,AMC,2020-07-15,2020-07-16
AA,2020-10-14,AMC,2020-10-14,2020-10-15
AA,2021-01-20,AMC,2021-01-20,2021-01-21
AA,2021-04-15,AMC,2021-04-15,2021-04-16
AA,2021-07-15,AMC,2021-07-15,2021-07-16
AA,2021-10-14,BMO,2021-10-13,2021-10-14
AA,2022-01-19,BMO,2022-01-18,2022-01-19
AA,2022-04-20,AMC,2022-04-20,2022-04-21
AAL,2005-10-19,BMO,2005-10-18,2005-10-19
AAL,2006-01-18,BMO,2006-01-17,2006-01-18
AAL,2006-04-19,BMO,2006-04-18,2006-04-19
AAL,2006-07-19,BMO,2006-07-18,2006-07-19
AAL,2006-10-18,BMO,2006-10-17,2006-10-18
AAL,2007-01-17,BMO,2007-01-16,2007-01-17
AAL,2007-04-18,BMO,2007-04-17,2007-04-18
AAL,2007-07-18,BMO,2007-07-17,2007-07-18
AAL,2007-10-17,BMO,2007-10-16,2007-10-17
AAL,2008-01-16,BMO,2008-01-15,2008-01-16
AAL,2008-04-16,BMO,2008-04-15,2008-04-16
AAL,2008-07-16,BMO,2008-07-15,2008-07-16
AAL,2008-10-15,BMO,2008-10-14,2008-10-15
AAL,2009-01-21,BMO,2009-01-20,2009-01-21
AAL,2009-04-15,BMO,2009-04-14,2009-04-15
AAL,2009-07-15,BMO,2009-07-14,2009-07-15
AAL,2009-10-21,BMO,2009-10-20,2009-10-21
AAL,2010-01-20,BMO,2010-01-19,2010-01-20
AAL,2010-04-21,BMO,2010-04-20,2010-04-21
AAL,2010-07-21,BMO,2010-07-20,2010-07-21
AAL,2010-10-20,BMO,2010-10-19,2010-10-20
AAL,2011-01-19,BMO,2011-01-18,2011-01-19
AAL,2011-04-20,BMO,2011-04-19,2011-04-20
AAL,2011-07-20,BMO,2011-07-19,2011-07-20
AAL,2011-10-19,BMO,2011-10-18,2011-10-19
AAL,2012-02-15,BMO,2012-02-14,2012-02-15
AAL,2012-04-19,BMO,2012-04-18,2012-04-19
AAL,2012-07-18,BMO,2012-07-17,2012-07-18
AAL,2012-10-17,BMO,2012-10-16,2012-10-17
AAL,2013-01-16,BMO,2013-01-15,2013-01-16
AAL,2013-04-18,BMO,2013-04-17,2013-04-18
AAL,2013-07-18,BMO,2013-07-17,2013-07-18
AAL,2013-10-17,BMO,2013-10-16,2013-10-17
AAL,2014-01-28,BMO,2014-01-27,2014-01-28
AAL,2014-04-24,BMO,2014-04-23,2014-04-24
