ticker,edate,etime,beforedate,afterdate
ORCL,2002-06-18,BMO,2002-06-17,2002-06-18
ORCL,2002-09-17,BMO,2002-09-16,2002-09-17
ORCL,2002-12-18,BMO,2002-12-17,2002-12-18
ORCL,2003-03-18,BMO,2003-03-17,2003-03-18
ORCL,2003-06-12,BMO,2003-06-11,2003-06-12
ORCL,2003-09-12,BMO,2003-09-11,2003-09-12
ORCL,2003-12-15,BMO,2003-12-12,2003-12-15
ORCL,2004-03-11,BMO,2004-03-10,2004-03-11
ORCL,2004-06-15,BMO,2004-06-14,2004-06-15
ORCL,2004-09-14,BMO,2004-09-13,2004-09-14
ORCL,2004-12-13,BMO,2004-12-10,2004-12-13
ORCL,2005-03-22,BMO,2005-03-21,2005-03-22
ORCL,2005-06-29,BMO,2005-06-28,2005-06-29
ORCL,2005-09-22,BMO,2005-09-21,2005-09-22
ORCL,2005-12-15,BMO,2005-12-14,2005-12-15
ORCL,2006-03-20,BMO,2006-03-17,2006-03-20
ORCL,2006-06-22,BMO,2006-06-21,2006-06-22
ORCL,2006-09-19,BMO,2006-09-18,2006-09-19
ORCL,2006-12-18,BMO,2006-12-15,2006-12-18
ORCL,2007-03-20,BMO,2007-03-19,2007-03-20
ORCL,2007-06-26,BMO,2007-06-25,2007-06-26
ORCL,2007-09-20,BMO,2007-09-19,2007-09-20
ORCL,2007-12-19,BMO,2007-12-18,2007-12-19
ORCL,2008-03-26,BMO,2008-03-25,2008-03-26
ORCL,2008-06-25,BMO,2008-06-24,2008-06-25
ORCL,2008-09-18,BMO,2008-09-17,2008-09-18
ORCL,2008-12-18,BMO,2008-12-17,2008-12-18
ORCL,2009-03-18,BMO,2009-03-17,2009-03-18
ORCL,2009-06-23,AMC,2009-06-23,2009-06-24
ORCL,2009-09-16,AMC,2009-09-16,2009-09-17
ORCL,2009-12-17,AMC,2009-12-17,2009-12-18
ORCL,2010-03-25,AMC,2010-03-25,2010-03-26
ORCL,2010-06-24,AMC,2010-06-24,2010-06-25
ORCL,2010-09-16,AMC,2010-09-16,2010-09-17
ORCL,2010-12-16,AMC,2010-12-16,2010-12-17
ORCL,2011-03-24,AMC,2011-03-24,2011-03-25
ORCL,2011-06-23,AMC,2011-06-23,2011-06-24
ORCL,2011-09-20,AMC,2011-09-20,2011-09-21
ORCL,2011-12-20,AMC,2011-12-20,2011-12-21
ORCL,2012-03-20,AMC,2012-03-20,2012-03-21
ORCL,2012-06-18,AMC,2012-06-18,2012-06-19
ORCL,2012-09-20,AMC,2012-09-20,2012-09-21
ORCL,2012-12-18,AMC,2012-12-18,2012-12-19
ORCL,2013-03-20,AMC,2013-03-20,2013-03-21
ORCL,2013-06-20,AMC,2013-06-20,2013-06-21
ORCL,2013-09-18,AMC,2013-09-18,2013-09-19
ORCL,2013-12-18,AMC,2013-12-18,2013-12-19
ORCL,2014-03-18,AMC,2014-03-18,2014-03-19
ORCL,2014-06-19,AMC,2014-06-19,2014-06-20
ORCL,2014-09-18,AMC,2014-09-18,2014-09-19
ORCL,2014-12-17,AMC,2014-12-17,2014-12-18
ORCL,2015-03-17,AMC,2015-03-17,2015-03-18
ORCL,2015-06-17,AMC,2015-06-17,2015-06-18
ORCL,2015-09-16,AMC,2015-09-16,2015-09-17
ORCL,2015-12-16,AMC,2015-12-16,2015-12-17
ORCL,2016-03-15,AMC,2016-03-15,2016-03-16
ORCL,2016-06-16,AMC,2016-06-16,2016-06-17
ORCL,2016-09-15,AMC,2016-09-15,2016-09-16
ORCL,2016-12-15,AMC,2016-12-15,2016-12-16
ORCL,2017-03-15,AMC,2017-03-15,2017-03-16
ORCL,2017-06-21,AMC,2017-06-21,2017-06-22
ORCL,2017-09-14,AMC,2017-09-14,2017-09-15
ORCL,2017-12-14,AMC,2017-12-14,2017-12-15
ORCL,2018-03-19,AMC,2018-03-19,2018-03-20
ORCL,2018-06-19,AMC,2018-06-19,2018-06-20
ORCL,2018-09-17,AMC,2018-09-17,2018-09-18
ORCL,2018-12-17,AMC,2018-12-17,2018-12-18
ORCL,2019-03-14,AMC,2019-03-14,2019-03-15
ORCL,2019-06-19,AMC,2019-06-19,2019-06-20
ORCL,2019-09-11,AMC,2019-09-11,2019-09-12
ORCL,2019-12-12,AMC,2019-12-12,2019-12-13
ORCL,2020-03-12,AMC,2020-03-12,2020-03-13
ORCL,2020-06-16,AMC,2020-06-16,2020-06-17
ORCL,2020-09-10,AMC,2020-09-10,2020-09-11
ORCL,2020-12-10,AMC,2020-12-10,2020-12-11
ORCL,2021-03-10,AMC,2021-03-10,2021-03-11
ORCL,2021-06-15,AMC,2021-06-15,2021-06-16
ORCL,2021-09-13,AMC,2021-09-13,2021-09-14
ORCL,2021-12-09,AMC,2021-12-09,2021-12-10
ORCL,2022-03-10,AMC,2022-03-10,2022-03-11
ORCL,2022-06-13,AMC,2022-06-13,2022-06-14
